,true_label,sentence,distibert_prediction
0,POSITIVE,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",POSITIVE
1,POSITIVE,Reading my kindle2...  Love it... Lee childs is good read.,POSITIVE
2,POSITIVE,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",POSITIVE
3,POSITIVE,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),POSITIVE
4,POSITIVE,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),POSITIVE
5,POSITIVE,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,POSITIVE
6,NEGATIVE,Fuck this economy. I hate aig and their non loan given asses.,NEGATIVE
7,POSITIVE,Jquery is my new best friend.,POSITIVE
8,POSITIVE,Loves twitter,POSITIVE
9,POSITIVE,how can you not love Obama? he makes jokes about himself.,POSITIVE
11,NEGATIVE,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",NEGATIVE
12,POSITIVE,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",POSITIVE
13,POSITIVE,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,POSITIVE
14,NEGATIVE,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",NEGATIVE
15,POSITIVE,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",POSITIVE
16,NEGATIVE,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,POSITIVE
17,POSITIVE,i love lebron. http://bit.ly/PdHur,POSITIVE
18,NEGATIVE,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",POSITIVE
19,POSITIVE,@Pmillzz lebron IS THE BOSS,POSITIVE
20,POSITIVE,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",POSITIVE
21,POSITIVE,lebron and zydrunas are such an awesome duo,POSITIVE
22,POSITIVE,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,NEGATIVE
23,POSITIVE,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,NEGATIVE
24,POSITIVE,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",POSITIVE
25,POSITIVE,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),POSITIVE
26,POSITIVE,In montreal for a long weekend of R&amp;R. Much needed.,NEGATIVE
27,POSITIVE,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,NEGATIVE
28,POSITIVE,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,POSITIVE
29,POSITIVE,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",NEGATIVE
32,POSITIVE,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",POSITIVE
33,NEGATIVE,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,NEGATIVE
34,NEGATIVE,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,NEGATIVE
35,NEGATIVE,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),NEGATIVE
36,NEGATIVE,I'm itchy and miserable!,NEGATIVE
37,NEGATIVE,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",NEGATIVE
38,POSITIVE,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,NEGATIVE
39,POSITIVE,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",POSITIVE
40,POSITIVE,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",POSITIVE
41,POSITIVE,is going to sleep then on a bike ride:],NEGATIVE
42,NEGATIVE,cant sleep... my tooth is aching.,NEGATIVE
43,NEGATIVE,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",NEGATIVE
44,NEGATIVE,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",POSITIVE
48,NEGATIVE,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,NEGATIVE
49,NEGATIVE,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,NEGATIVE
50,NEGATIVE,ShaunWoo hate'n on AiG,NEGATIVE
51,POSITIVE,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,POSITIVE
54,NEGATIVE,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,NEGATIVE
56,POSITIVE,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,POSITIVE
57,POSITIVE,Blink by malcolm gladwell amazing book and The tipping point!,POSITIVE
58,POSITIVE,Malcolm Gladwell might be my new man crush,NEGATIVE
59,NEGATIVE,omg. The commercials alone on ESPN are going to drive me nuts.,NEGATIVE
60,POSITIVE,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,POSITIVE
62,POSITIVE,Hello Twitter API ;),POSITIVE
64,NEGATIVE,@morind45 Because the twitter api is slow and most client's aren't good.,NEGATIVE
65,NEGATIVE,yahoo answers can be a butt sometimes,NEGATIVE
66,POSITIVE,is scrapbooking with Nic =D,NEGATIVE
67,POSITIVE,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,POSITIVE
68,POSITIVE,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,POSITIVE
72,NEGATIVE,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,NEGATIVE
73,POSITIVE,Back when I worked for Nike we had one fav word : JUST DO IT! :),NEGATIVE
74,POSITIVE,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",POSITIVE
77,POSITIVE,Class... The 50d is supposed to come today :),POSITIVE
78,NEGATIVE,needs someone to explain lambda calculus to him! :(,NEGATIVE
79,NEGATIVE,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,NEGATIVE
80,POSITIVE,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,POSITIVE
81,NEGATIVE,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",NEGATIVE
82,POSITIVE,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,POSITIVE
85,POSITIVE,@ work til 6pm... lets go lakers!!!,POSITIVE
86,NEGATIVE,Damn you North Korea. http://bit.ly/KtMeQ,NEGATIVE
87,NEGATIVE,Can we just go ahead and blow North Korea off the map already?,NEGATIVE
88,NEGATIVE,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",NEGATIVE
89,NEGATIVE,Why the hell is Pelosi in freakin China? and on whose dime?,NEGATIVE
90,NEGATIVE,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",NEGATIVE
91,NEGATIVE,insects have infected my spinach plant :(,NEGATIVE
92,NEGATIVE,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,NEGATIVE
93,NEGATIVE,"just got back from church, and I totally hate insects.",NEGATIVE
94,NEGATIVE,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,NEGATIVE
95,POSITIVE,omgg i ohhdee want mcdonalds damn i wonder if its open lol =],NEGATIVE
96,NEGATIVE,History exam studying ugh,NEGATIVE
97,NEGATIVE,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",NEGATIVE
98,NEGATIVE,"Higher physics exam tommorow, not lookin forward to it much :(",NEGATIVE
99,NEGATIVE,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",NEGATIVE
100,NEGATIVE,Cheney and Bush are the real culprits - http://fwix.com/article/939496,NEGATIVE
101,NEGATIVE,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,NEGATIVE
102,NEGATIVE,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",NEGATIVE
103,NEGATIVE,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",NEGATIVE
104,NEGATIVE,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,NEGATIVE
105,NEGATIVE,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",NEGATIVE
106,POSITIVE,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",POSITIVE
108,POSITIVE,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT",POSITIVE
109,POSITIVE,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,POSITIVE
110,POSITIVE,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",POSITIVE
111,POSITIVE,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!,POSITIVE
112,POSITIVE,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9,POSITIVE
113,POSITIVE,zomg!!! I have a G2!!!!!!!,NEGATIVE
114,POSITIVE,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl,POSITIVE
115,POSITIVE,just got a free G2 android at google i/o!!!,NEGATIVE
116,POSITIVE,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio,NEGATIVE
118,POSITIVE,I am happy for Philip being at GoogleIO today,POSITIVE
119,POSITIVE,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???,POSITIVE
121,POSITIVE,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK,NEGATIVE
123,NEGATIVE,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,NEGATIVE
124,POSITIVE,watching Night at The Museum . Lmao,POSITIVE
125,POSITIVE,i loved night at the museum!!!,POSITIVE
127,POSITIVE,just got back from the movies.  went to see the new night at the museum with rachel.  it was good,POSITIVE
130,POSITIVE,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good,POSITIVE
131,POSITIVE,no watching The Night At The Museum. Getting Really Good,POSITIVE
132,POSITIVE,"Night at the Museum, Wolverine and junk food - perfect monday!",POSITIVE
133,POSITIVE,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!,POSITIVE
136,NEGATIVE,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,NEGATIVE
138,NEGATIVE,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,NEGATIVE
139,NEGATIVE,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,NEGATIVE
140,NEGATIVE,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,NEGATIVE
141,NEGATIVE,Time Warner cable is down again 3rd time since Memorial Day bummer!,NEGATIVE
142,NEGATIVE,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",NEGATIVE
143,NEGATIVE,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,NEGATIVE
144,NEGATIVE,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!,NEGATIVE
145,NEGATIVE,time warner has the worse customer service ever. I will never use them again,NEGATIVE
146,NEGATIVE,Time warner is the devil. Worst possible time for the Internet to go out.,NEGATIVE
147,NEGATIVE,Fuck no internet damn time warner!,NEGATIVE
148,NEGATIVE,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.,NEGATIVE
149,NEGATIVE,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.,NEGATIVE
150,NEGATIVE,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :),POSITIVE
151,NEGATIVE,Time Warner's HD line up is crap.,NEGATIVE
152,NEGATIVE,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!,NEGATIVE
154,NEGATIVE,Time Warner Cable slogan: Where calling it a day at 2pm Happens.,NEGATIVE
161,NEGATIVE,Recovering from surgery..wishing @julesrenner was here :(,NEGATIVE
162,POSITIVE,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!",NEGATIVE
164,NEGATIVE,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!",NEGATIVE
165,NEGATIVE,@kirstiealley my dentist is great but she's expensive...=(,NEGATIVE
167,POSITIVE,is studing math ;) tomorrow exam and dentist :),NEGATIVE
168,NEGATIVE,my dentist was wrong... WRONG,NEGATIVE
169,NEGATIVE,Going to the dentist later.:|,NEGATIVE
170,NEGATIVE,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?,NEGATIVE
176,NEGATIVE,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?,NEGATIVE
179,POSITIVE,Safeway is very rock n roll tonight,POSITIVE
184,NEGATIVE,The safeway bathroom still smells like ass!,NEGATIVE
185,NEGATIVE,"At safeway on elkhorn, they move like they're dead!",NEGATIVE
191,POSITIVE,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.,NEGATIVE
192,NEGATIVE,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic,NEGATIVE
194,POSITIVE,is lovin his Nike  already and that's only from running on the spot in his bedroom,NEGATIVE
196,POSITIVE,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.,NEGATIVE
202,POSITIVE,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.",POSITIVE
203,POSITIVE,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet",NEGATIVE
205,POSITIVE,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune",POSITIVE
206,POSITIVE,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*",POSITIVE
208,POSITIVE,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2,POSITIVE
210,NEGATIVE,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.,NEGATIVE
211,NEGATIVE,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!,NEGATIVE
212,NEGATIVE,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :),NEGATIVE
213,NEGATIVE,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.,NEGATIVE
214,NEGATIVE,"wth..i have never seen a line this loooong at time warner before, ugh.",NEGATIVE
215,NEGATIVE,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon,NEGATIVE
217,NEGATIVE,Naive Bayes using EM for Text Classification. Really Frustrating...,NEGATIVE
218,POSITIVE,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.,POSITIVE
221,NEGATIVE,"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags",NEGATIVE
222,NEGATIVE,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.,NEGATIVE
223,NEGATIVE,#at&amp;t is complete fail.,NEGATIVE
224,NEGATIVE,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU,POSITIVE
225,NEGATIVE,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal,NEGATIVE
226,NEGATIVE,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)",NEGATIVE
227,NEGATIVE,pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299,NEGATIVE
228,NEGATIVE,Safari 4 is fast :) Even on my shitty AT&amp;T tethering.,NEGATIVE
229,NEGATIVE,@ims What is AT&amp;T fucking up?,NEGATIVE
230,NEGATIVE,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!,NEGATIVE
231,NEGATIVE,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T.",POSITIVE
233,NEGATIVE,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8",NEGATIVE
234,NEGATIVE,"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye",NEGATIVE
236,POSITIVE,@ArunBasilLal I love Google Translator too ! :D Good day mate !,POSITIVE
237,POSITIVE,reading on my new Kindle2!,NEGATIVE
238,POSITIVE,My Kindle2 came and I LOVE it! :),POSITIVE
239,POSITIVE,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!",POSITIVE
240,NEGATIVE,The real AIG scandal / http://bit.ly/b82Px,NEGATIVE
243,POSITIVE,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.,POSITIVE
244,POSITIVE,"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech..",POSITIVE
245,POSITIVE,"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!",POSITIVE
246,POSITIVE,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM,POSITIVE
